"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"A.G. Edwards & Sons, Inc.","Wells Fargo","$45,000","$0","$45,000","2003","20030625","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","California","publicly traded","WFC","financial services","banking","http://www.cftc.gov/opa/enf03/opa4801-03.htm",""
"Allied Waste Industries Inc.","Republic Services","$125,000","$0","$125,000","2007","20070508","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Allied Waste Industries Inc. agreed to pay $125,000 as part of a civil settlement with the Department of Justice that resolved Allied's alleged violations of a 2000 consent decree entered in connection with Allied's acquisition of Browning-Ferris Industries Inc. ","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","https://www.justice.gov/archive/atr/public/press_releases/2007/223119.htm",""
"ALLTEL Corporation","Verizon Communications","$1,325,000","$0","$1,325,000","2007","20071203","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","ALLTEL Corporation agreed to pay $1.325 million as part of a civil settlement with the Department of Justice and the state of Minnesota that resolved ALLTEL's alleged violations of two court orders entered in connection with ALLTEL's acquisition of Midwest Wireless Holdings LLC.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","New York","publicly traded","VZ","telecommunications","telecommunications","https://www.justice.gov/archive/atr/public/press_releases/2007/228160.htm",""
"Ameri-Source International Inc., Ameri-Source Specialty Products Inc. and Ameri-Source Holdings Inc.","","$3,000,000","$0","$3,000,000","2016","20160222","miscellaneous offenses","customs duty evasion","","The Department of Justice announced that three importers and their owners -- Ameri-Source International Inc., Ameri-Source Specialty Products Inc., Ameri-Source Holdings Inc., Ajay Goel and Thomas Diener -- and a related importer, SMC Machining LLC, incorporated at Goel's direction and formerly owned by his wife, agreed to pay $3 million to resolve a lawsuit brought by the United States under the False Claims Act.  The lawsuit alleged that the defendants had engaged in a scheme to evade customs duties on imports of small-diameter graphite electrodes from the People's Republic of China.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/four-pennsylvania-based-companies-and-two-individuals-agree-pay-3-million-settle-false-claims",""
"American Airlines Inc.","American Airlines","$3,000,000","$0","$3,000,000","2004","20040806","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","The Department of Justice announced a settlement with American Airlines Inc. resolving the government's concerns regarding American's alleged violations of a 1994 consent decree. American agreed to pay a $3 million civil penalty, which included reimbursement to the government for its investigation.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","AAL","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2004/204933.htm",""
"American Electric Power","American Electric Power","$30,000,000","$0","$30,000,000","2005","20050126","miscellaneous offenses","data submission deficiencies","","American Electric Power, Inc. and AEP's wholly-owned subsidiary, AEP Energy Services, Inc. (AEPES) resolved an ongoing federal investigation into the submission of knowingly inaccurate reports by AEPES concerning a commodities market. AEPES agreed to pay a criminal penalty of $30 million.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","https://www.justice.gov/archive/opa/pr/2005/January/05_crm_032.htm",""
"American Electric Power Company, Inc. and AEP Energy Services, Inc.","American Electric Power","$30,000,000","$0","$30,000,000","2005","20050126","miscellaneous offenses","data submission deficiencies","","American Electric Power and its subsidiary AEPES agreed to pay $30 million to resolve CFTC allegations that they repeatedly and deliberately reported false natural gas trading information, including price and volume information, to certain firms that compile natural gas price indexes. The complaint further alleged that AEP and AEPES knowingly delivered false information to price index compilers in an attempt to skew those indexes for their financial benefit.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","AEP","utilities and power generation","utilities","http://www.cftc.gov/opa/enf05/opa5041-05.htm",""
"American Rental Management","","$34,800","$0","$34,800","2000","20000526","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=AmerRental.dec.5-26-00.pdf",""
"AT&T Inc.","AT&T","$2,000,000","$0","$2,000,000","2009","20090114","miscellaneous offenses","civil contempt","","AT&T Inc. agreed to pay more than $2 million as part of a civil settlement with the Department of Justice that resolved AT&T's alleged violations of two court orders entered in connection with its acquisition of Dobson Communications Corporation.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","T","telecommunications","telecommunications","https://www.justice.gov/archive/opa/pr/2009/January/09-at-033.html",""
"Barclays Bank PLC","Barclays","$500,000","$0","$500,000","2016","20160922","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Britain","","publicly traded","BCS","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr7452-16",""
"BNP Paribas Commodity Futures, Ltd.","BNP Paribas","$25,000","$0","$25,000","2008","20080312","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission announced that BNP Paribas Commodity Futures, Ltd. would pay a $25,000 civil monetary penalty to settle charges that it failed to provide to the CFTC timely and accurate account information for a reportable large trader account, as required by CFTC regulations.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","France","","publicly traded","","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr5470-08",""
"Carr Futures Inc","","$75,000","$0","$75,000","2003","20030429","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/opa/enf03/opa4780-03.htm",""
"Chiquita Brands International Inc.","Cutrale","$25,000,000","$0","$25,000,000","2007","20070319","miscellaneous offenses","payment to designated terrorist organization","","Chiquita Brands International Inc. pleaded guilty to one count of engaging in transactions with a terrorist organization in Colombia.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","Brazil","","privately held","","food products","food products","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_161.html",""
"Cinergy Marketing & Trading, LP","Duke Energy","$3,000,000","$0","$3,000,000","2004","20041116","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission announced the issuance of an administrative order filing and simultaneously settling allegations against Cinergy Marketing & Trading, LP, as successor in interest to Cinergy Marketing & Trading, LLC. Cinergy agreed to pay a $3 million civil monetary penalty to settle charges of false reporting of trade information concerning natural gas transactions.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","DUK","utilities and power generation","utilities","http://www.cftc.gov/opa/enf04/opa5020-04.htm",""
"Citigroup Global Markets","Citigroup","$7,000,000","$0","$7,000,000","2016","20160712","miscellaneous offenses","data submission deficiencies","","Citigroup Global Markets agreed to pay a $7 million penalty and admit wrongdoing to settle charges that a computer coding error caused the firm to provide the agency with incomplete blue sheet information about trades it executed.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","C","financial services","banking & securities","https://www.sec.gov/news/pressrelease/2016-138.html",""
"Citigroup Private Bank GP, Inc.","Citigroup","$100,000","$0","$100,000","2009","20091001","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","C","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr5727-09",""
"CMET Inc.","","$100,000","$0","$100,000","2006","20060320","miscellaneous offenses","obstruction of justice","price-fixing or anti-competitive practices","A Japanese firm, CMET Inc., agreed to plead guilty and to pay a $100,000 criminal fine for conspiring to obstruct justice in connection with the settlement of a merger case.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2006/215151.htm",""
"CNCGC Hong Kong Ltd","","$150,000","$0","$150,000","2017","20170117","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission issued an Order filing and settling charges against CNCGC Hong Kong Ltd., an investment and trading company headquartered in Hong Kong, for failing to file required CFTC Form 304 Cotton On-Call Reports, reporting its call cotton purchases and sales when it held or controlled at least one hundred (100) cotton futures positions, and for filing late Form 304 reports on two occasions.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7515-17",""
"Coral Energy Resources, L.P.","","$30,000,000","$0","$30,000,000","2004","20040729","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/opa/enf04/opa4964-04.htm",""
"Credit Suisse Securities (USA) LLC","Credit Suisse","$4,250,000","$0","$4,250,000","2015","20150928","miscellaneous offenses","data submission deficiencies","","The Securities and Exchange Commission charged Credit Suisse Securities (USA) LLC with submitting deficient information to the agency over a two-year period about trades done by its customers.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","CS","financial services","banking & securities","https://www.sec.gov/news/pressrelease/2015-214.html",""
"Crestwood Terrace Partnership","","$40,500","$0","$40,500","2001","20010130","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=Crestwoodpartnership.pdf",""
"Deutsche Bank AG","Deutsche Bank","$2,500,000","$0","$2,500,000","2015","20150930","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission issued an Order filing and simultaneously settling charges against Deutsche Bank AG for failing to properly report its swaps transactions from in or about January 2013 until July 2015.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Germany","","publicly traded","DB","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7255-15",""
"Deutsche Bank Securities Inc.","Deutsche Bank","$1,650,000","$0","$1,650,000","2002","20021203","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Germany","","publicly traded","DB","financial services","banking & securities","https://www.sec.gov/news/press/2002-173.htm",""
"Dominion Resources, Inc.","Dominion Energy","$4,250,000","$0","$4,250,000","2006","20060927","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://www.cftc.gov/PressRoom/PressReleases/pr5233-06",""
"Entercare, Inc.","","$1,375,000","$0","$1,375,000","2002","20021231","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=Entercare_dec12-31-02.pdf",""
"Entergy Koch Trading, L.P.","Entergy","$3,000,000","$0","$3,000,000","2004","20040128","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","http://www.cftc.gov/opa/enf04/opa4883-04.htm",""
"Equitable Trust Mortgage Corporation","","$277,500","$0","$277,500","2009","20091211","miscellaneous offenses","housing program violation","","The Federal Housing Administration announced a settlement agreement with Equitable Trust Mortgage Corporation of Baltimore, Maryland, thereby terminating the suspension imposed on December 7, 2009. FHA suspended ETM's HUD/FHA approval because ETM allegedly  charged 37 borrowers for broker and loan origination fees in excess of what the U.S. Department of Housing and Urban Development allowed.","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","https://archives.hud.gov/news/2009/pr09-230.cfm",""
"Felicity Harmony Limited","","$27,500","$0","$27,500","2001","20010607","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=Felicity_default_06701.pdf",""
"Fortis Investment Management USA, Inc.","","$75,000","$0","$75,000","2009","20090109","miscellaneous offenses","data submission deficiencies","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5596-09",""
"Gardere Wynne Sewell LLP","","$1,200,000","$0","$1,200,000","2002","20020625","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/press/2002-93.htm",""
"Goldman Sachs & Co.","Goldman Sachs","$12,000,000","$0","$12,000,000","2012","20120927","miscellaneous offenses","illicit political contributions","","The Securities and Exchange Commission announced that Goldman, Sachs and one of its former investment bankers settled alleged pay-to-play violations involving undisclosed campaign contributions to then-Massachusetts state treasurer Timothy P. Cahill while he was a candidate for governor.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","GS","financial services","banking & securities","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171485032",""
"Goldman, Sachs & Co.","Goldman Sachs","$1,650,000","$0","$1,650,000","2002","20021203","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","GS","financial services","banking & securities","https://www.sec.gov/news/press/2002-173.htm",""
"ITT Corporation","L3Harris Technologies","$50,000,000","$0","$50,000,000","2007","20070327","miscellaneous offenses","misuse of classified data","Arms Export Control Act","ITT Corporation, the leading manufacturer of military night vision equipment for the U.S. Armed Forces, admitted sending classified materials overseas and agreed to pay a $100 million criminal penalty, half of which was deferred. ","federal","agency action","Justice Department National Security Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Florida","publicly traded","LHX","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/archive/opa/pr/2007/March/07_nsd_192.html",""
"Helix Energy Solutions","","$2,000,000","$0","$2,000,000","2007","20071126","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Cal Dive International Inc. and its parent company Helix Energy Solutions Group Inc. agreed to pay $2 million as part of a civil settlement with the Department of Justice that resolved Cal Dive's alleged violations of a 2005 consent decree. ","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2007/227959.htm",""
"Heritage Nursing Center, LLC","","$40,000","$0","$40,000","2011","20110929","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=HeritageNursing.092911.pdf",""
"J.P. Morgan Futures, Inc.","JPMorgan Chase","$300,000","$0","$300,000","2009","20090909","miscellaneous offenses","data submission deficiencies","securities issuance or trading violation","The U.S. Commodity Futures Trading Commission announced the filing and simultaneous settlement of charges against J.P. Morgan Futures, Inc., a registered futures commission merchant, for violating rules governing segregation of customer funds, timely computation of its segregation obligations, timely reporting of under-segregation deficiency to the CFTC and diligent supervision of its employees.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","JPM","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr5713-09",""
"JPMorgan Chase","JPMorgan Chase","$225,000","$0","$225,000","2016","20160323","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission settled allegations that JPMorgan Ventures Energy Corp. and JPMorgan Chase Bank, N.A. failed to comply with their obligations to submit accurate large trader reports  for physical commodity swap positions.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","JPM","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7347-16",""
"JPMorgan Chase Bank","JPMorgan Chase","$100,000,000","$0","$100,000,000","2015","20151218","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission issued an Order filing and settling charges that JPMorgan Chase Bank, N.A. failed to disclose certain conflicts of interest to clients of its U.S.-based wealth management business, J.P. Morgan Private Bank.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","JPM","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7297-15",""
"JPMorgan Securities","JPMorgan Chase","$650,000","$0","$650,000","2014","20140729","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission settled charges against J.P. Morgan Securities LLC for submitting inaccurate reports to the CFTC relating to the required reporting of positions held by certain large traders.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","JPM","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr6968-14",""
"Lord Commons Apartments","","$152,500","$0","$152,500","2007","20070720","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=LordCommons-07-20-07.pdf",""
"Mantua Gardens East, Inc.","","$1,260,000","$0","$1,260,000","2013","20130528","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=12-F-043-CMP-3-05282013.pdf",""
"Merrill Lynch Investment Managers, LLC and Merrill Lynch Alternative Investments, LLC","Bank of America","$500,000","$0","$500,000","2007","20070731","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","BAC","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr5364-07",""
"Mizuho Securities USA Inc.","Mizuho Financial","$175,000","$0","$175,000","2013","20130103","miscellaneous offenses","data submission deficiencies","financial institution supervision failures","The U.S. Commodity Futures Trading Commission settled charges against Mizuho Securities USA Inc. for failing to provide timely notice to the CFTC of secured fund deficiencies for failing to diligently supervise its employees.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Japan","","publicly traded","MFG","financial services","banking","http://www.cftc.gov/PressRoom/PressReleases/pr6491-13",""
"Moody's Investors Service Inc","Moody's","$195,000","$0","$195,000","2001","20010410","miscellaneous offenses","obstruction of justice","","Moody's Investors Service Inc., one of the largest credit ratings agencies in the United States, pleaded guilty and was sentenced to pay a $195,000 criminal fine for obstructing justice by destroying documents called for during an antitrust investigation.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","USA","New York","publicly traded","MCO","information technology","information services","https://www.justice.gov/archive/atr/public/press_releases/2001/221736.htm",""
"Morgan Stanley & Co.","Morgan Stanley","$10,000,000","$0","$10,000,000","2006","20060510","miscellaneous offenses","data submission deficiencies","","Morgan Stanley & Co. agreed to pay $10 million to settle allegations that it failed to produce tens of thousands of e-mails during the SEC's IPO and Research Analyst investigations from Dec. 11, 2000, through at least July 2005. ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","MS","financial services","financial services","https://www.sec.gov/news/press/2006/2006-69.htm",""
"Morgan Stanley & Co. Incorporated","Morgan Stanley","$1,650,000","$0","$1,650,000","2002","20021203","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","MS","financial services","financial services","https://www.sec.gov/news/press/2002-173.htm",""
"Morgan Stanley Capital Group","Morgan Stanley","$14,000,000","$0","$14,000,000","2010","20100429","miscellaneous offenses","data submission deficiencies","","The U.S. Commodity Futures Trading Commission announced the separate filings and simultaneous settlements of charges against Morgan Stanley Capital Group, Inc. and UBS Securities Inc. in connection with Morgan Stanley's alleged concealment from the New York Mercantile Exchange (NYMEX) the existence of a large Trade at Settlement (TAS) block crude oil trade. UBS Securities allegedly aided and abetted that concealment.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","MS","financial services","financial services","http://www.cftc.gov/PressRoom/PressReleases/pr5816-10",""
"Novum Structures LLC","","$3,000,000","$0","$3,000,000","2016","20160105","miscellaneous offenses","Buy America requirements","","The Department of Justice announced that Wisconsin-based Novum Structures LLC  agreed to enter a guilty plea and pay $3 million to resolve its criminal and civil liability arising from its improper use of foreign materials on construction projects involving federal funds.  This use was in violation of contractual provisions implementing various domestic preference statutes, often referred to colloquially as the ""Buy America"" requirements.  Novum specializes in the design and construction of glass space frames often used in roofs and atrium enclosures. ","federal","agency action","Justice Department Civil Division","civil and criminal","","","","","","Wisconsin","","","","","","","","","","","","https://www.justice.gov/opa/pr/wisconsin-architectural-firm-plead-guilty-and-pay-3-million-resolve-criminal-and-civil-claims",""
"NRG Energy, Inc.","NRG Energy","$2,000,000","$0","$2,000,000","2007","20070215","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New Jersey","publicly traded","NRG","utilities and power generation","energy generation","http://www.cftc.gov/PressRoom/PressReleases/pr5292-07",""
"Ola Properties, Inc.","","$70,000","$0","$70,000","2007","20070604","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=OLAProperties-6-4-07.pdf",""
"ONEOK Inc.","Oneok","$3,000,000","$0","$3,000,000","2004","20040128","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://www.cftc.gov/opa/enf04/opa4883-04.htm",""
"OZ Management LP","Och-Ziff Capital Management","$4,250,000","$0","$4,250,000","2015","20150714","miscellaneous offenses","data submission deficiencies","","OZ Management LP settled allegations that it provided inaccurate trade data to four prime brokers, causing inaccuracies in the brokers' books and records and in data provided to the SEC in investigations.  OZ Management, an investment adviser for numerous Och-Ziff funds, admitted wrongdoing and agreed to pay a $4.25 million penalty.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OZM","financial services","investment management","https://www.sec.gov/news/pressrelease/2015-145.html",""
"Paradigm Capital Management LLC","","$75,000","$0","$75,000","2008","20080214","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5457-08",""
"Pioneer Futures Inc.","","$25,000","$0","$25,000","2007","20070307","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5298-07",""
"Premier Investments 1, Inc.","","$95,000","$0","$95,000","2007","20070629","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=PremierInvestments-6-29-07.pdf",""
"Prudential Securities, Inc.","Wells Fargo","$65,000","$0","$65,000","2002","20021009","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","California","publicly traded","WFC","financial services","banking","http://www.cftc.gov/opa/enf02/opa4710-02.htm",""
"Republic Services Inc.","Republic Services","$1,500,000","$0","$1,500,000","2004","20041130","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Republic Services Inc. agreed to pay a $1.5 million civil penalty as part of a settlement with the Department of Justice that resolved Republic's alleged violations of an existing 2000 consent decree in connection with an exchange of certain waste hauling and disposal assets by Republic and Allied Waste Industries Inc.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","https://www.justice.gov/archive/atr/public/press_releases/2004/206569.htm",""
"RNS Holdings LP","","$389,032","$0","$389,032","2016","20160920","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7447-16",""
"Rolex Watch U.S.A. Inc.","","$750,000","$0","$750,000","2006","20060228","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Rolex Watch U.S.A. Inc. agreed to pay $750,000 as part of a settlement with the Department of Justice that resolved Rolex's alleged violations of a 1960 consent decree that prohibited U.S. importers of Swiss watches and watch parts from engaging in anticompetitive practices in the U.S. watch industry.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2006/214821.htm",""
"Rosenthal Collins Group","","$25,000","$0","$25,000","2007","20070112","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5275-07",""
"Russell Investments Ireland Limited and Russell Investments Cayman Ltd.","","$120,000","$0","$120,000","2007","20071001","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5395-07",""
"Ryan's World Inc.","","$120,000","$0","$120,000","2006","20060927","miscellaneous offenses","false statements","price-fixing or anti-competitive practices","A southern California freight company pleaded guilty and was sentenced to pay a $120,000 criminal fine for making false statements related to the Department of Defense's program to ship military household goods between Europe and the United States and between the United States mainland and Hawaii.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2006/218609.htm",""
"Sage Partners LP & Sage Partners, LLC","","$125,000","$0","$125,000","2009","20090616","miscellaneous offenses","housing program violation","","","federal","agency action","Housing and Urban Development Department","civil","","","","","","","","","","","","","","","","","","http://portal.hud.gov/hudportal/documents/huddoc?id=SagePartners-6-16-09.pdf",""
"Salomon Smith Barney Inc.","Morgan Stanley","$1,650,000","$0","$1,650,000","2002","20021203","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","MS","financial services","financial services","https://www.sec.gov/news/press/2002-173.htm",""
