"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Access Resource Services, Inc. and Psychic Readers Network, Inc.","","$5,000,000","$0","$5,000,000","2002","20021114","consumer-protection-related offenses","consumer protection violation","","Access Resource Services, Inc. and Psychic Readers Network, Inc. agreed to a stipulated court order stopping all collection efforts on accounts or claims from consumers who purchased or purportedly purchased their pay-per-call or audiotext services and forgiving outstanding consumer charges as part of a settlement with the Federal Trade Commission. The settlement also required the defendants to pay $5 million to the FTC.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2002/11/miss-cleo-promoters-forgive-approximately-500-million-outstanding",""
"ACE Cash Express","ACE Cash Express","$15,000,000","$0","$15,000,000","2014","20140710","consumer-protection-related offenses","consumer protection violation","payday lending violation","The Consumer Financial Protection Bureau took enforcement action against ACE Cash Express, one of the largest payday lenders in the United States, for pushing payday borrowers into a cycle of debt. The CFPB found that ACE used illegal debt collection tactics including harassment and false threats of lawsuits or criminal prosecution to pressure overdue borrowers into taking out additional loans they could not afford. ACE was required to provide $5 million in refunds and pay a $5 million penalty.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","Texas","privately held","","financial services","payday loans","http://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-ace-cash-express-for-pushing-payday-borrowers-into-cycle-of-debt/",""
"Acquinity Interactive, LLC; 7657030 Canada Inc.,  Revenue Path E-Consulting Pvt, Ltd.; Revenuepath Ltd.","","$7,800,000","$0","$7,800,000","2014","20141022","consumer-protection-related offenses","consumer protection violation","","A series of defendants agreed to pay approximately $10 million to the Federal Trade Commission to settle charges that they operated a massive scam that sent unwanted text messages to millions of consumers, many of whom later received illegal robocalls, phony free merchandise offers, and unauthorized charges crammed on their mobile phone bills.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2014/10/defendants-massive-spam-text-message-robocalling-mobile-cramming",""
"Action Loan Company, Inc.,","","$387,000","$0","$387,000","2000","20000824","consumer-protection-related offenses","consumer protection violation","","Action Loan Company, Inc., of Louisville, Kentucky, and its owner agreed to pay a $350,000 civil penalty and up to a total of $37,000 in consumer redress as part of a joint settlement with the Federal Trade Commission and the Department of Housing and Urban Development resolving allegations that they violated a host of federal lending and consumer protection laws when making loans secured by real or personal property to consumers.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2000/08/sub-prime-lender-agrees-pay-350000-civil-penalty-settle-charges",""
"Adteractive, Inc.","","$650,000","$0","$650,000","2007","20071128","consumer-protection-related offenses","consumer protection violation","","A large online advertiser that drove traffic to its websites using spam e-mails with misleading subject lines agreed to settle Federal Trade Commission charges that it failed to disclose that consumers had to spend money to receive the so-called free gifts it offered.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2007/11/major-online-advertiser-settles-ftc-charges-free-gifts-werent",""
"Advanced Consumer Services","","$700,000","$0","$700,000","2002","20020424","consumer-protection-related offenses","consumer protection violation","","An Orlando, Florida-based company doing business as Advanced Consumer Services and its principals agreed to pay approximately $700,000 to settle allegations that they made misrepresentations when telemarketing worthless credit card protection packages to consumers.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2002/04/florida-defendants-pay-700000-redress-alleged-misrepresentations",""
"Advanced Patch Technologies","","$67,471","$0","$67,471","2008","20080930","consumer-protection-related offenses","consumer protection violation","","Marketers of a weight-loss patch agreed to pay $110,539 to settle Federal Trade Commission charges that they violated two 2004 consent orders by continuing to make false claims that their product causes substantial weight loss and weight loss in all users. ","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2008/09/marketers-weight-loss-patch-pay-more-110000-violating-previous",""
"Advanced Patch Technologies, Inc.","","$1,000,000","$0","$1,000,000","2004","20040310","consumer-protection-related offenses","consumer protection violation","","Marketers of the Peel Away the Pounds patch, which was widely advertised in infomercials, agreed to settle Federal Trade Commission allegations that they made false and unsubstantiated weight loss claims in violation of the FTC Act. The settlement required the defendants collectively to pay more than $1 million in consumer redress, to stop making certain false weight loss claims, and to possess scientific substantiation before making other claims for any product, program or service that purportedly provides health benefits.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2004/03/marketers-peel-away-pounds-patch-settle-ftc-charges-false",""
"Advanced Tel, Inc.","","$975,000","$0","$975,000","2017","20170608","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","https://www.fcc.gov/document/fcc-fines-ati-975k-universal-service-and-other-violations",""
"Advanced Tel","","$1,588,988","$0","$1,588,988","2015","20150126","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DOC-331682A1.pdf",""
"Advantage Credit Repair LLC","","$20,000","$0","$20,000","2010","20100304","consumer-protection-related offenses","consumer protection violation","","A credit repair company that falsely claimed it would help boost consumers' credit ratings agreed to settle Federal Trade Commission charges filed last year as part of Operation Clean Sweep, a federal-state crackdown on credit repair scams.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2010/03/credit-repair-scammers-settle-ftc-charges",""
"Advantage Telecommunications Corp.","","$1,000,000","$0","$1,000,000","2017","20170425","consumer-protection-related offenses","telecommunications violation","","The FCC issued a monetary forfeiture in the amount of $1,000,000 against Advantage Telecommunications Corp. for slamming consumers by changing their long distance carriers without proper authorization and cramming unauthorized charges onto their bills.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DOC-342164A1.pdf",""
"Aegean Financial","","$65,000","$0","$65,000","2016","20161207","consumer-protection-related offenses","consumer protection violation","","","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","","","","","","","http://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-reverse-mortgage-companies-deceptive-advertising/",""
"Aer Lingus Limited","","$20,000","$0","$20,000","2004","20040506","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2004-5-9.pdf",""
"Aero Continente, S.A.","","$20,000","$0","$20,000","2002","20020214","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2002-2-12.pdf",""
"Aero ServicesExecutive, S.A.","","$20,000","$0","$20,000","2010","20100430","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-04-17.pdf",""
"Aero Services Corporate, S.A.","","$10,000","$0","$10,000","2006","20060419","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2006-4-19.pdf",""
"Aeroenlaces Nacionales, S.A. de CV","","$150,000","$0","$150,000","2016","20160505","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2016-5-3_0.pdf",""
"Aerolineas Argentinas, S.A.","","$15,000","$0","$15,000","2002","20021211","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2002-12-12.pdf",""
"Aerolineas Argentinas, S.A.","","$50,000","$0","$50,000","2012","20120829","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-8-33.pdf",""
"AeroSvit Airlines","","$20,000","$0","$20,000","2012","20121108","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-11-6.pdf",""
"Aerovias de Intergracion Regional","","$20,000","$0","$20,000","2011","20110303","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-03-09.pdf",""
"Aerovias de Mexico, S.A. de C.V.","","$60,000","$0","$60,000","2011","20110104","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-01-01.pdf",""
"Aerovias del Continente Americano, S.A.","","$10,000","$0","$10,000","2006","20060624","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2006-6-18_0.pdf",""
"AFD Advisors LLC, AMG Associates LLC, and Park 295 Corp.","","$887,841","$0","$887,841","2014","20140912","consumer-protection-related offenses","consumer protection violation","","The Federal Trade Commission halted two health care scams that were designed to trick consumers into paying for phony discount cards, which the scammers falsely claimed would provide consumers with health insurance, or help them pay for prescription drugs.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","","","","","","","https://www.ftc.gov/news-events/press-releases/2014/09/ftc-stops-marketers-phony-health-care-discount-schemes-directed",""
"Affinion Group Holdings, Inc.","Apollo Global Management","$8,700,000","$0","$8,700,000","2015","20150701","consumer-protection-related offenses","consumer protection violation","credit card violation","The Consumer Financial Protection Bureau took action against two credit card add-on product vendors, Affinion Group Holdings, Inc., Affinion's affiliated companies, and Intersections Inc. for unfairly charging consumers for credit card add-on benefits they did not receive. Under the proposed consent orders, Affinion would pay approximately $6.8 million in monetary relief for eligible consumers who have not yet received refunds and $1.9 million in civil money penalties, while Intersections would pay approximately $55,000 in monetary relief to eligible consumers who have not yet received refunds and $1.2 million in civil money penalties.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","New York","publicly traded","APO","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-companies-for-unfair-billing-of-credit-card-add-on-products-and-services/",""
"AFX Inc.","","$90,000","$0","$90,000","2017","20170523","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DA-17-471A1.pdf",""
"AGS Partnership","","$65,000","$0","$65,000","2004","20040209","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2004-2-7.pdf",""
"AHI International Corporation","","$45,000","$0","$45,000","2008","20080306","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2008-03-05.pdf",""
"AIG Federal Savings Bank and Wilmington Finance Inc.","American International Group","$6,100,000","$0","$6,100,000","2010","20100304","consumer-protection-related offenses","discriminatory practices (non-employment)","","Two subsidiaries of American International Group Inc. agreed to pay a minimum of $6.1 million to resolve allegations that they engaged in a pattern or practice of discrimination against African American borrowers.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","USA","New York","publicly traded","AIG","financial services","insurance","https://www.justice.gov/opa/pr/financial-fraud-enforcement-task-force-announces-settlement-aig-subsidiaries-resolve",""
"Air Ambulance Worldwide, Inc.","","$12,000","$0","$12,000","2009","20090623","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2009-06-18.pdf",""
"Air Canada","Air Canada","$10,000","$0","$10,000","2007","20070118","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Canada","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2007-01-10.pdf",""
"Air Canada","Air Canada","$225,000","$0","$225,000","2016","20160829","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Canada","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2016-8-29.pdf",""
"Air Canada","Air Canada","$50,000","$0","$50,000","2011","20110804","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Canada","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-08-08.pdf",""
"Air Canada rouge","Air Canada","$90,000","$0","$90,000","2014","20141028","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Canada","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2014-10-23.pdf",""
"Air Charters, Inc., d/b/a Air Flamenco","","$30,000","$0","$30,000","2011","20110812","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-08-16.pdf",""
"Air China Limited","","$90,000","$0","$90,000","2013","20130502","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2013-5-3.pdf",""
"Air China, Limited","","$40,000","$0","$40,000","2012","20120917","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-9-18.pdf",""
"Air Europa","","$140,000","$0","$140,000","2014","20140514","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2014-5-5.pdf",""
"Air Europa Lineas Aereas, S.A.U.","","$100,000","$0","$100,000","2015","20150217","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2015-2-3.pdf",""
"Air India","","$115,000","$0","$115,000","2017","20170213","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2017-2-13.pdf",""
"Air India, Limited","","$80,000","$0","$80,000","2012","20120503","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-5-4.pdf",""
"Air Jamaica, Ltd.","","$105,000","$0","$105,000","2008","20081230","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2008-12-25.pdf",""
"Air Jamaica, Ltd.","","$50,000","$0","$50,000","2003","20030910","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2003-9-5.pdf",""
"Air New Zealand Ltd.","","$45,000","$0","$45,000","2001","20010531","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","FOIA559","Source document obtained through a Freedom of Information Act request to the agency."
"Air New Zealand","","$20,000","$0","$20,000","2007","20071005","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2007-10-08_0.pdf",""
"Air Optima","","$17,500","$0","$17,500","2006","20060208","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2006-2-6.pdf",""
"AirTran Airways","Southwest Airlines","$500,000","$0","$500,000","2010","20100814","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-08-14_0.pdf",""
"AirTran Airways","Southwest Airlines","$125,000","$0","$125,000","2003","20031008","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/2003-10-11_0.pdf",""
"AirTran Airways","Southwest Airlines","$100,000","$0","$100,000","2013","20130522","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2013-5-14.pdf",""
"AirTran Airways","Southwest Airlines","$60,000","$0","$60,000","2012","20120104","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-1-1.pdf",""
"AirTran Airways","Southwest Airlines","$45,000","$0","$45,000","2008","20080529","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2008-05-38.pdf",""
"AirTran Airways","Southwest Airlines","$30,000","$0","$30,000","2011","20110405","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-04-02.pdf",""
"AirTran Airways","Southwest Airlines","$20,000","$0","$20,000","2010","20100528","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","LUV","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2010-05-29.pdf",""
"Air X Aviation, Inc.","","$25,000","$0","$25,000","2017","20170719","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/resources/individuals/aviation-consumer-protection/283921/eo2017-7-11.pdf",""
"Airadigm Communications, Inc. dba Airfire Mobile","","$260,000","$0","$260,000","2013","20130621","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DA-13-1346A1.pdf",""
"AirGorilla, LLC","","$30,000","$0","$30,000","2011","20110506","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-05-05.pdf",""
"Airtrade International, Inc.","","$150,000","$0","$150,000","2012","20121130","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-11-36.pdf",""
"Airtrade International, Inc.","","$80,000","$0","$80,000","2014","20140114","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2014-1-9.pdf",""
"Airtrade International, Inc.","","$50,000","$0","$50,000","2011","20110426","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2011-04-21.pdf",""
"AIT Inc. and Southern Telecom Inc.","","$260,000","$0","$260,000","2014","20141029","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","","","","","","","https://apps.fcc.gov/edocs_public/attachmatch/DA-14-1454A1.pdf",""
"Akwaaba Airlines & Tours Limited","","$100,000","$0","$100,000","2005","20051019","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","","","","","","","https://www.transportation.gov/sites/dot.gov/files/docs/2005-10-15.pdf",""
