"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Adventist Health System/Sunbelt Inc.","Adventist Health System","$3,900,000","$0","$3,900,000","2012","20120207","government-contracting-related offenses","False Claims Act and related","","Fourteen hospitals located in New York, Mississippi, North Carolina, Washington, Indiana, Missouri and Florida agreed to pay the United States a total of more than $12 million to settle allegations that the health care facilities submitted false claims to Medicare relating to lyphplasty services.","federal","agency action","Justice Department Civil Division","civil","","","","","","Florida","","","","","","USA","Florida","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/fourteen-hospitals-pay-us-more-12-million-resolve-false-claims-act-allegations-related",""
"Adventist Health System/West","Adventist Health (CA)","$14,100,000","$0","$14,100,000","2013","20130503","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Adventist Health System/West, dba Adventist Health, and its affiliated hospital White Memorial Medical Center agreed to pay the United States and the state of California $14.1 million to settle claims that they violated the False Claims Act. The settlement resolved allegations that Adventist Health improperly compensated physicians who referred patients to the White Memorial facility by transferring assets, including medical and non-medical supplies and inventory, at less than fair market value.","federal","agency action","Justice Department Civil Division","civil","","","","","","California","Los Angeles","","","","","USA","California","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-pays-united-states-and-state-california-141-million-resolve-false-claims-act",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$28,300,000","$0","$28,300,000","2004","20041028","government-contracting-related offenses","False Claims Act and related","","Adventist Health System Sunbelt Healthcare Corporation, three affiliated hospitals and a management company that administered ambulance operations at the three hospitals agreed to pay the U.S. $20.3 million to settle allegations that they overcharged Medicare for ambulance transports for patients which were not medically necessary.","federal","agency action","Justice Department Civil Division","civil","","","","","","Florida","","","","","","USA","Florida","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2004/October/04_civ_723.htm",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$8,700,000","$0","$8,700,000","2000","20001208","government-contracting-related offenses","False Claims Act and related","","Adventist Health System Sunbelt Healthcare Corporation and three affiliated hospitals agreed to pay the United States $8.7 million to settle allegations that the hospitals overcharged Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Florida","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2000/December/686civ.htm",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$5,500,000","$0","$5,500,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Florida","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Adventist Health System Sunbelt Healthcare Corporation","Adventist Health System","$5,412,502","$0","$5,412,502","2015","20150319","government-contracting-related offenses","False Claims Act and related","","Adventist Health System Sunbelt Healthcare Corporation agreed to pay $5,412,502 to resolve claims that it violated the False Claims Act by providing radiation oncology services to Medicare and TRICARE beneficiaries that were not directly supervised by radiation oncologists or similarly qualified persons.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Florida","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/adventist-health-system-pay-54-million-resolve-false-claims-act-allegations",""
"Advocate Health and Hospitals Corporation","Advocate Aurora Health","$3,000,000","$0","$3,000,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"A.G. Andrikopoulos","","$76,168","$0","$76,168","2009","20090930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2009.pdf",""
"Age Refining Inc.","","$9,000,000","$0","$9,000,000","2006","20060803","government-contracting-related offenses","False Claims Act and related","","Age Refining Inc., the company?s former affiliate, Age Transportation, and the founder and chairman emeritus of Age Refining agreed to pay the United States $9 million and reform its business practices as part of a settlement to resolve allegations of false certification in connection with government contracts. The settlement resolved allegations that San Antonio-based Age Refining falsely certified its compliance with the provisions of the Historically Underutilized Business Zone (HUBZone Act of 1997) program in order to entitle the company to a price evaluation preference in connection with bidding for JP-8 jet fuel and other contracts with the Department of Defense.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2006/August/06_civ_496.html",""
"Agility Public Warehousing Co. KSC","Agility","$95,000,000","$0","$95,000,000","2017","20170526","government-contracting-related offenses","False Claims Act and related","","Agility Public Warehousing Co. KSC (Agility), a Kuwaiti company, agreed to globally resolve criminal, civil, and administrative cases arising from allegations that Agility overcharged the United States when performing contracts with the Department of Defense to supply food for U.S. troops from 2003 through 2010. As part of the global resolution, Agility agreed to pay $95 million to resolve civil fraud claims, to forgo administrative claims against the United States seeking $249 million in additional payments under its military food contracts, and to plead guilty to a criminal misdemeanor offense for theft of government funds.","federal","agency action","Justice Department Civil Division","civil and criminal","","","","","","","","","","","","Kuwait","","publicly traded","","freight and logistics","logistics","https://www.justice.gov/opa/pr/defense-contractor-resolves-criminal-civil-and-administrative-liability-related-food",""
"AHS Hospital Corp., Atlantic Health System Inc., and Overlook Hospital","Atlantic Health System","$8,999,999","$0","$8,999,999","2012","20120621","government-contracting-related offenses","False Claims Act and related","","AHS Hospital Corp., Atlantic Health System Inc., and Overlook Hospital, located in New Jersey, agreed to pay the United States $8,999,999 to settle allegations that they violated the False Claims Act by overbilling for Medicare services.","federal","agency action","Justice Department Civil Division","civil","","","","","","New Jersey","","","","","","USA","New Jersey","privately held","","healthcare services","hospitals","https://www.justice.gov/opa/pr/new-jersey-hospital-pays-us-8999999-settle-false-claims-act-allegations",""
"Air Ideal Inc.","","$250,000","$0","$250,000","2015","20150408","government-contracting-related offenses","False Claims Act and related","","Orlando, Florida, based Air Ideal Inc. and its majority owner, Kim Amkraut, agreed to pay the United States $250,000 to resolve allegations that they made false statements to the Small Business Administration to obtain certification as a Historically Underutilized Business Zone company.  Under the settlement, the defendantswere also required to pay five percent of Air Ideal's gross revenues over the next five years.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/florida-company-and-owner-agree-resolve-alleged-false-claims-act-violations-regarding",""
"Air Land Forwarders","","$72,513","$0","$72,513","2008","20080721","government-contracting-related offenses","False Claims Act and related","bid-rigging","Seven freight forwarding companies -- Air Land Forwarders, Arpin International Group, Covan International, Jet Forwarding, and SIRVA, the parent company of Allied Freight Forwarding, Global Worldwide and North American Van Lines -- agreed to pay the United States a total of $666,237 for settle allegations of bid rigging in violation of the False Claims Act on Defense Department contracts to transport household goods for military families.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/July/08-civ-629.html",""
"Ajax Paving Industries Inc. and Dan's Excavating Inc.","","$11,750,000","$0","$11,750,000","2007","20070315","government-contracting-related offenses","False Claims Act and related","","Two Michigan construction companies agreed to pay the United States $11.75 million to resolve claims that they knowingly violated Disadvantaged Business Enterprise (DBE) contracting requirements for federally funded construction projects at Detroit Wayne County Metropolitan Airport.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2007/March/07_civ_153.html",""
"Akal Security Inc.","Akal Security","$18,000,000","$0","$18,000,000","2007","20070713","government-contracting-related offenses","False Claims Act and related","","Akal Security Inc., one of the largest contract security providers in the country, agreed to pay the United States $18 million to resolve allegations that it violated the terms of its contract to provide trained civilian guards at eight U.S. Army bases. According to the settlement, some of the supplied security guards allegedly failed to satisfy weapons qualification requirements and receive other training, and the contractor allegedly failed to satisfy contractual man-hour requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New Mexico","privately held","","miscellaneous services","outsourced government services","https://www.justice.gov/archive/opa/pr/2007/July/07_civ_500.html",""
"Akal Security, Inc.","Akal Security","$1,800,000","$0","$1,800,000","2012","20120927","government-contracting-related offenses","False Claims Act and related","","New Mexico-based Akal Security, Inc., one of the largest providers of security services at federal courthouses, agreed to pay $1,875,000 to resolve allegations that it failed to appropriately conduct firearms testing in the Northern District of California.","federal","agency action","Justice Department Civil Division","civil","","","","","","California","","","","","","USA","New Mexico","privately held","","miscellaneous services","outsourced government services","https://www.justice.gov/opa/pr/court-security-contractor-pay-18-million-resolve-allegations-guards-did-not-undergo",""
"Allegheny General Hospital","","$3,200,000","$0","$3,200,000","2000","20000823","government-contracting-related offenses","False Claims Act and related","","Allegheny General Hospital in Pittsburgh agreed to pay $3.2 million to the United States to settle allegations that the facility billed Medicare for surgical procedures utilizing medical devices which had not been approved by the Food and Drug Administration.","federal","agency action","Justice Department Civil Division","civil","","","","","","Pennsylvania","Pittsburgh","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2000/August/497civ.htm",""
"Allina Health System","Allina Health System","$16,000,000","$0","$16,000,000","2002","20020115","government-contracting-related offenses","False Claims Act and related","","Allina Health System agreed to pay the United States $16 million to resolve allegations that it fraudulently overbilled three government health care programs -- Medicare, Medicaid, and the military health care programs, TRICARE/CHAMPUS.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Minnesota","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2002/January/02_civ_014.htm",""
"Allina Health System","Allina Health System","$2,560,000","$0","$2,560,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Minnesota","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Alpharma Inc.","Pfizer","$42,500,000","$0","$42,500,000","2010","20100316","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Alpharma Inc. agreed to pay $42.5 million to resolve False Claims Act allegations in connection with the marketing of the morphine-based drug Kadian. The settlement resolved allegations that between January 1, 2000 and December 29, 2008 Alpharma paid health care providers to induce them to promote or prescribe Kadian, and made misrepresentations about the safety and efficacy of the drug. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New York","publicly traded","PFE","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/alpharma-pay-425-million-resolve-false-claims-act-allegations-connection-promotion-drug",""
"Alta Colleges Inc.","","$7,000,000","$0","$7,000,000","2009","20090420","government-contracting-related offenses","False Claims Act and related","","Alta Colleges Inc. and its wholly-owned collegiate schools in Texas agreed to pay the United States $7 million to resolve allegations that they submitted false claims for federal student aid funds.","federal","agency action","Justice Department Civil Division","civil","","","","","","Texas","","","","","","","","","","","","https://www.justice.gov/opa/pr/alta-colleges-pay-us-7-million-resolve-false-claims-act-allegations",""
"Altex, Incorporated","","$24,288","$0","$24,288","2010","20100930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to report production for 1 federal property for 69 months.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2010.pdf",""
"Altru Health System","Altru Health System","$1,492,690","$0","$1,492,690","2013","20130702","government-contracting-related offenses","False Claims Act and related","","Fifty-five hospitals in 21 states agreed to pay the United States a total of more than $34 million to settle allegations that they submitted false claims to Medicare for kyphoplasty, a minimally-invasive procedure used to treat certain spinal fractures that often are due to osteoporosis. ","federal","agency action","Justice Department Civil Division","civil","","","","","","North Dakota","Grand Forks","","","","","USA","North Dakota","non-profit","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/fifty-five-hospitals-pay-us-more-34-million-resolve-false-claims-act-allegations-related",""
"AMEC Construction Management Inc.","","$19,000,000","$0","$19,000,000","2009","20090202","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","The United States has recovered more than $19 million from AMEC Construction Management Inc. to resolve allegations of fraud, false claims and kickbacks on four General Services Administration construction contracts, as well as litigation over claims by the GSA for excess re-procurement costs incurred by GSA after it terminated ACMI's contract to build the Thomas F. Eagleton United States Courthouse in St. Louis.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/us-recovers-19-million-amec-construction-management-settle-litigation-regarding-fraud-false",""
"Amedisys Inc.","Amedisys","$150,000,000","$0","$150,000,000","2014","20140423","government-contracting-related offenses","False Claims Act and related","","Amedisys Inc. and its affiliates agreed to pay $150 million to the federal government to resolve allegations that they violated the False Claims Act by submitting false home healthcare billings to the Medicare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","AMED","healthcare services","home health services","https://www.justice.gov/opa/pr/amedisys-home-health-companies-agree-pay-150-million-resolve-false-claims-act-allegations",""
"American Commercial Colleges Inc.","","$2,500,000","$0","$2,500,000","2013","20130531","government-contracting-related offenses","False Claims Act and related","","American Commercial Colleges Inc. agreed to pay the United States up to $2.5 million, plus interest, to resolve allegations that it violated the civil False Claims Act by falsely certifying that it complied with certain eligibility requirements of the federal student aid programs.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/profit-school-texas-pay-united-states-25-million-allegedly-submitting-false-claims-federal",""
"American Family Care Inc.","","$1,200,000","$0","$1,200,000","2014","20140318","government-contracting-related offenses","False Claims Act and related","","American Family Care Inc. agreed to pay the government $1.2 million to resolve allegations under the False Claims Act that it knowingly submitted claims to Medicare for outpatient office visits that were billed at a higher rate than was appropriate.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/american-family-care-inc-pay-12-million-settle-allegations-inflated-medicare-claims",""
"American HomePatient, Inc.","","$7,000,000","$0","$7,000,000","2001","20010709","government-contracting-related offenses","False Claims Act and related","","American HomePatient, Inc. and its affiliate, American HomePatient Delaware, agreed to pay the United States $7 million to settle allegations that it submitted claims for payment based on inadequate supporting documentation or stemming from illegal patient referrals to several federal programs.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2001/July/311civ.htm",""
"American Hospice Management Holdings LLC","","$12,000,000","$0","$12,000,000","2013","20130320","government-contracting-related offenses","False Claims Act and related","","Hospice of Arizona L.C., along with a related entity, American Hospice Management LLC, and their parent corporation, American Hospice Management Holdings LLC, agreed to pay $12 million to resolve allegations that they violated the False Claims Act by submitting or causing the submission of false claims to the Medicare program for ineligible hospice services.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/hospice-arizona-and-related-entities-pay-12-million-resolve-false-claims-act-allegations",""
"American Medical Response Inc.","KKR & Co.","$9,000,000","$0","$9,000,000","2006","20061005","government-contracting-related offenses","False Claims Act and related","","American Medical Response Inc. paid the United States over $9 million to resolve allegations that the company violated the False Claims Act. The government alleged that the ambulance company provided illegal inducements to hospitals in Texas in exchange for referrals.","federal","agency action","Justice Department Civil Division","civil","","","","","","Texas","","","","","","USA","New York","publicly traded","KKR","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/opa/pr/2006/October/06_civ_679.html",""
"American Management Systems, Inc.","","$15,000,000","$0","$15,000,000","2003","20030620","government-contracting-related offenses","False Claims Act and related","","American Management Systems, Inc. agreed to pay $15 million to resolve a dispute arising out of its 1997 contract to deliver an automated record-keeping system to the Federal Retirement Thrift Investment Board.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2003/June/03_civ_373.htm",""
"American Sleep Medicine LLC","","$15,301,341","$0","$15,301,341","2013","20130103","government-contracting-related offenses","False Claims Act and related","","Florida-based American Sleep Medicine LLC agreed to pay $15,301,341 to resolve allegations that it billed Medicare, TRICARE and the Railroad Retirement Medicare Program for sleep diagnostic services that were not eligible for payment.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/florida-based-american-sleep-medicine-pay-153-million-improperly-billing-medicare-and-other",""
"American Systems Corporation, Anixter International Inc., and Corning Cable Systems LLC","","$3,000,000","$0","$3,000,000","2013","20130307","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","American Systems Corporation, Anixter International Inc., and Corning Cable Systems LLC agreed to pay the United States $3 million to settle allegations that they violated the False Claims Act and the Anti-Kickback Act in bidding on a contract with the CIA.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/cia-contractors-settle-false-claims-act-and-kickback-allegations-3-million",""
"Amerigroup Corporation","Anthem","$225,000,000","$0","$225,000,000","2008","20080814","government-contracting-related offenses","False Claims Act and related","fraud","Amerigroup agreed to pay $225 million to settle allegations that it systematically avoided enrolling pregnant women and unhealthy patients in the Medicaid managed care program it was paid to operate in Illinois.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2008/August/08-civ-723.html",""
"Amgen Inc.","Amgen","$24,900,000","$0","$24,900,000","2013","20130416","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Amgen Inc. agreed to pay the United States $24.9 million to settle allegations that it violated the False Claims Act. The company was accused of paying kickbacks  to long-term care pharmacy providers Omnicare Inc., PharMerica Corporation and Kindred Healthcare Inc. in return for implementing ""therapeutic interchange"" programs that were designed to switch Medicare and Medicaid beneficiaries from a competitor drug to Amgen's Aranesp.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","AMGN","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/amgen-pay-us-249-million-resolve-false-claims-act-allegations",""
"AMI Monitoring Inc. aka Spectocor","","$10,560,000","$0","$10,560,000","2017","20170626","government-contracting-related offenses","False Claims Act and related","","AMI Monitoring Inc. aka Spectocor, its owner, Joseph Bogdan, Medi-Lynx Cardiac Monitoring LLC, and Medicalgorithmics SA, the current majority owner of Medi-Lynx Cardiac Monitoring LLC, agreed to resolve allegations that they violated the False Claims Act by billing Medicare for higher and more expensive levels of cardiac monitoring services than requested by the ordering physicians. Spectocor and Bogdan agreed to pay $10.56 million, and Medi-Lynx and Medicalgorithmics agreed to pay $2.89 million.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/cardiac-monitoring-companies-and-executive-agree-pay-1345-million-resolve-false-claims-act",""
"AmMed Direct LLC","","$18,000,000","$0","$18,000,000","2012","20120413","government-contracting-related offenses","False Claims Act and related","","AmMed Direct LLC agreed to pay the United States and the state of Tennessee $18 million plus interest to settle allegations that it submitted false claims to Medicare and Tennessee Medicaid (TennCare).","federal","agency action","Justice Department Civil Division","civil","","","","","","Tennessee","","","","","","","","","","","","https://www.justice.gov/opa/pr/ammed-direct-llc-pay-18-million-united-states-and-tennessee-resolve-false-claims-allegations",""
"Anadarko Petroleum Corporation","Occidental Petroleum","$17,000,000","$0","$17,000,000","2011","20110620","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Anadarko Petroleum Corporation, Kerr-McGee Corporation and their affiliates agreed to pay the United States more than $17 million to resolve claims that the companies violated the False Claims Act by knowingly underpaying royalties owed on natural gas produced from federal and Indian leases, and numerous additional administrative claims.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","OXY","oil and gas","oil & gas","https://www.justice.gov/opa/pr/anadarko-and-kerr-mcgee-pay-more-17-million-resolve-allegations-royalty-underpayments-federal",""
