"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Advanced Micro Devices","Advanced Micro Devices","$11,000","$0","$11,000","2008","20080811","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","California","publicly traded","AMD","electrical and electronic equipment","semiconductors","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=452&Itemid=",""
"Advanced Orientation Systems, Inc.","","$31,500","$0","$31,500","2008","20080710","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=447&Itemid=",""
"AE Eagle America Inc.","","$87,500","$0","$87,500","2011","20111017","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20120605210215/http://www.fmc.gov/compromise_agreements_recover_477500_in_penalties/",""
"Aegis Oil, LLC","","$41,319,067","$0","$41,319,067","2016","20160930","competition-related offenses","fraud","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2016/lr23663.htm",""
"Aeroflex Incorporated","Cobham","$8,000,000","$0","$8,000,000","2013","20130806","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","Britain","","publicly traded","","aerospace and military contracting","aerospace & military contracting","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=192d7e49db99db0044f9ff621f961964",""
"Aeronet Inc.","","$27,000","$0","$27,000","2013","20131009","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","http://efoia.bis.doc.gov/index.php/component/docman/doc_download/895-e2350?Itemid=",""
"Afghan International Trucking","","$3,360,000","$0","$3,360,000","2010","20100625","competition-related offenses","kickbacks and bribery","","Two Afghan trucking companies pleaded guilty to paying multiple bribes to U.S. public officials in exchange for unfair advantages in procuring contract work at the Bagram Airfield in Afghanistan.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/two-afghan-companies-plead-guilty-bribing-us-officials-and-agree-pay-44-million-fines",""
"Afghan Trade Transportation","","$1,040,000","$0","$1,040,000","2010","20100625","competition-related offenses","kickbacks and bribery","","Two Afghan trucking companies pleaded guilty to paying multiple bribes to U.S. public officials in exchange for unfair advantages in procuring contract work at the Bagram Airfield in Afghanistan.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/two-afghan-companies-plead-guilty-bribing-us-officials-and-agree-pay-44-million-fines",""
"AGA Medical Corporation","","$2,000,000","$0","$2,000,000","2008","20080603","competition-related offenses","Foreign Corrupt Practices Act","","AGA Medical Corporation, a medical device manufacturer, agreed to pay a $2 million criminal penalty in connection with corrupt payments to Chinese government officials in violation of the Foreign Corrupt Practices Act. ","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/June/08-crm-491.html",""
"AGCO Corp.","AGCO","$1,600,000","$0","$1,600,000","2009","20090930","competition-related offenses","kickbacks and bribery","","AGCO Corp., a U.S. corporation based in Duluth, Ga., agreed to pay a $1.6 million penalty for illegal kickbacks paid to the former government of Iraq.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Georgia","publicly traded","AGCO","agribusiness","agricultural equipment","https://www.justice.gov/opa/pr/agco-corp-pay-16-million-connection-payments-former-iraqi-government-under-un-oil-food",""
"AGCO Corporation","AGCO","$18,300,000","$0","$18,300,000","2009","20090930","competition-related offenses","Foreign Corrupt Practices Act","","AGCO Corporation agreed to pay $18.3 million to settle allegations that certain subsidiaries made approximately $5.9 million in kickback payments related to their sales of humanitarian goods to Iraq under the United Nations Oil for Food Program.  ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","AGCO","agribusiness","agricultural equipment","https://www.sec.gov/news/press/2009/2009-212.htm",""
"Agilent Technologies Inc.","Agilent Technologies","$225,000","$0","$225,000","2003","20030820","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","USA","California","publicly traded","A","miscellaneous manufacturing","scientific equipment","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=232d7e49db99db0044f9ff621f96196d",""
"Agility International, Inc.","Agility","$13,200","$0","$13,200","2008","20080319","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Kuwait","","publicly traded","","freight and logistics","logistics","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=433&Itemid=",""
"Agri Star Meat & Poultry LLC","","$12,000","$0","$12,000","2010","20101021","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Iowa","Postville","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2010NR.pdf",""
"Agriprocessors, Inc.","","$3,300,000","$0","$3,300,000","2009","20090331","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Iowa","Postville","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2009NR.pdf",""
"Agriprocessors, Inc.","","$37,500","$0","$37,500","2002","20020326","competition-related offenses","agribusiness violation","","","federal","agency action","Grain Inspection, Packers & Stockyards Administration","civil","","","","","","Iowa","Postville","","","","","","","","","","","https://www.gipsa.usda.gov/Newrelease/2002NR.pdf",""
"Ahwaz Steel Commercial & Technical Service Gmbh","","$50,000","$0","$50,000","2003","20031117","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","FOIA83","Source document obtained through a Freedom of Information Act request to the agency."
"Aibel Group Ltd.","","$4,200,000","$0","$4,200,000","2008","20081121","competition-related offenses","Foreign Corrupt Practices Act","","Aibel Group Ltd. pleaded guilty to violating the antibribery provisions of the Foreign Corrupt Practices Act. Aibel Group admitted that it was not in compliance with a deferred prosecution agreement it had entered into with the Justice Department in February 2007 regarding the same underlying conduct. ","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/November/08-crm-1041.html",""
"Aimil Limited","","$8,800","$0","$8,800","2007","20070814","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=387&Itemid=",""
"Air & Ocean Shipping, Inc. d/b/a Compass Marine","","$110,000","$0","$110,000","2007","20070910","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20071012203712/http://fmc.gov/speeches/newsrelease.asp?SPEECH_ID=235",""
"Air Cargo International","","$11,000","$0","$11,000","2005","20051130","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","FOIA40","Source document obtained through a Freedom of Information Act request to the agency."
"Air France-KLM","Air France-KLM","$350,000,000","$0","$350,000,000","2008","20080626","competition-related offenses","price-fixing or anti-competitive practices","","A group of major international airlines agreed to each plead guilty and pay criminal fines totaling $504 million for participating in a multi?year conspiracy to fix prices for air cargo rates.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","France","","publicly traded","","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2008/234435.htm",""
"Air Parcel Express, Inc","","$25,000","$0","$25,000","2005","20051005","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20051219202417/http://www.fmc.gov/speeches/newsrelease.asp?SPEECH_ID=211",""
"Air Sea Transport Inc. et al","","$60,000","$0","$60,000","2002","20020502","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20021230120919/http://fmc.gov/Pressreleases/NR%2002-06%20May%202%202002%20press%20release.htm",""
"Air Shunt Instruments Inc.","","$250,000","$0","$250,000","2008","20080717","competition-related offenses","export control violation","","Air Shunt Instruments Inc., a California aircraft components company, was sentenced to pay a criminal fine of $250,000 for false statements related to the illegal export of military technology.","federal","agency action","Justice Department National Security Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2008/July/08-nsd-623.html",""
"Air Shunt Instruments, Inc.","","$100,000","$0","$100,000","2009","20090708","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","","","","","","","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=183dfec1db15df00d0a370131f9619b1",""
"Air Tiger Express","","$49,500","$0","$49,500","2005","20050330","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","","","","","","","FOIA216","Source document obtained through a Freedom of Information Act request to the agency."
"Air Van Lines International Inc.","","$143,040","$0","$143,040","2007","20070731","competition-related offenses","fraud","","A Kirkland, Wash.-based freight forwarder involved in the military's program for shipping household goods of military and civilian Department of Defense personnel between the U.S. and foreign countries pleaded guilty to criminal offenses related to its participation in that program.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/atr/public/press_releases/2007/224888.htm",""
"Airmar Cargo Services, Inc","","$20,000","$0","$20,000","2003","20031125","competition-related offenses","maritime violation","","","federal","agency action","Federal Maritime Commission","civil","","","","","","","","","","","","","","","","","","https://web.archive.org/web/20031206091243/http://fmc.gov/Pressreleases/NR%2003-11_Compromise%20Agreements.htm",""
"Aisan Industry Co. Ltd.","Aisan Industry Co.","$6,860,000","$0","$6,860,000","2014","20140203","competition-related offenses","price-fixing or anti-competitive practices","","Aisan Industry Co. Ltd., an Obu, Japan-based company, agreed to plead guilty and to pay a criminal fine of $6.86 million for its role in a price-fixing conspiracy involving electronic throttle bodies sold in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Japan","","publicly traded","","automotive parts","automotive parts","https://www.justice.gov/atr/pr/aisan-industry-co-ltd-agrees-plead-guilty-price-fixing-automobile-parts-installed-us-cars",""
"Aisin Seiki Co. Ltd.","Aisin Seiki","$35,800,000","$0","$35,800,000","2014","20141113","competition-related offenses","price-fixing or anti-competitive practices","","Aisin Seiki Co. Ltd., an automotive parts manufacturer based in Kariya, Japan, has agreed to plead guilty and to pay a $35.8 million criminal fine for its role in a conspiracy to allocate customers of variable valve timing (VVT) devices sold to automobile manufacturers in the United States and elsewhere.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Japan","","publicly traded","","automotive parts","automotive parts","https://www.justice.gov/opa/pr/aisin-seiki-co-ltd-agrees-plead-guilty-customer-allocation-automobile-parts-installed-us-cars",""
"Ajinomoto Co. Inc.","Ajinomoto","$6,000,000","$0","$6,000,000","2001","20010827","competition-related offenses","price-fixing or anti-competitive practices","","Two Japanese corporations, Ajinomoto Co. Inc. and Daesang Japan Inc., and one Korean corporation, Cheil Jedang Corporation, agreed to plead guilty and pay criminal fines totaling more than $9 million for participating in a worldwide conspiracy to fix the prices of, and allocate customers for nucleotides, a food flavor enhancer.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Japan","","publicly traded","","food products","food products","https://www.justice.gov/archive/atr/public/press_releases/2001/8918.htm",""
"Akamai Technologies","Akamai Technologies","$671,885","$0","$671,885","2016","20160607","competition-related offenses","Foreign Corrupt Practices Act","","Akamai Technologies agreed to pay $652,452 in disgorgement plus $19,433 in interest to resolve allegations that a foreign subsidiary arranged $40,000 in payments to induce Chinese government-owned entities to purchase more services than they actually needed.  Employees at the foreign subsidiary violated the company's written policies by providing improper gift cards, meals, and entertainment to officials at these state-owned entities to build business relationships.","federal","agency action","Securities and Exchange Commission","civil","non-prosecution agreement","","","","","","","","","","","USA","Massachusetts","publicly traded","AKAM","information technology","internet services","https://www.sec.gov/news/pressrelease/2016-109.html",""
"Akrion Systems, LLC","Akrion Systems","$900,000","$0","$900,000","2012","20120606","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Pennsylvania","privately held","","electrical and electronic equipment","semiconductor equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/779-e2269?Itemid=",""
"Akzo Nobel N.V.","Akzo Nobel","$2,981,513","$0","$2,981,513","2007","20071220","competition-related offenses","Foreign Corrupt Practices Act","","Akzo Nobel agreed to settle allegations that from 2000 to 2003 two of its subsidiaries authorized and made $279,491 in kickback payments in connection with their sales of humanitarian goods to Iraq under the U.N. Oil for Food Program.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","","paints and coatings","paints & coatings","https://www.sec.gov/litigation/litreleases/2007/lr20410.htm",""
"Akzo Nobel Chemicals BV","Akzo Nobel","$12,000,000","$0","$12,000,000","2001","20010627","competition-related offenses","price-fixing or anti-competitive practices","","Dutch chemical giant, Akzo Nobel Chemicals BV, agreed to plead guilty and pay a $12 million criminal fine for participating in an international conspiracy to fix prices and allocate market shares of monochloroacetic acid (referred to as MCAA).","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Netherlands","","publicly traded","","paints and coatings","paints & coatings","https://www.justice.gov/archive/atr/public/press_releases/2001/8468.htm",""
"Akzo Nobel Chemicals International B.V.","Akzo Nobel","$32,000,000","$0","$32,000,000","2006","20060314","competition-related offenses","price-fixing or anti-competitive practices","","Solvay S.A., a Belgian company, and Akzo Nobel Chemicals International B.V., a Dutch company, agreed to plead guilty and to pay a total of more than $72 million in criminal fines for their participation in international price-fixing cartels in the chemicals industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Netherlands","","publicly traded","","paints and coatings","paints & coatings","https://www.justice.gov/archive/atr/public/press_releases/2006/215056.htm",""
"Alcatel-Lucent S.A.","Nokia","$92,000,000","$0","$92,000,000","2010","20101227","competition-related offenses","Foreign Corrupt Practices Act","","Alcatel-Lucent S.A. and three of its subsidiaries agreed to pay a combined $92 million penalty to resolve a Foreign Corrupt Practices Act investigation into the worldwide sales practices of Alcatel S.A. prior to its 2006 merger with Lucent Technologies Inc.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.justice.gov/opa/pr/alcatel-lucent-sa-and-three-subsidiaries-agree-pay-92-million-resolve-foreign-corrupt",""
"Alcatel-Lucent S.A.","Nokia","$45,000,000","$0","$45,000,000","2010","20101227","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.sec.gov/news/press/2010/2010-258.htm",""
"Alcoa Inc.","Alcoa","$161,000,000","$0","$161,000,000","2014","20140109","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","AA","metals","metals","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370540596936",""
"Alcoa World Alumina LLC","Alcoa","$223,000,000","$0","$223,000,000","2014","20140109","competition-related offenses","Foreign Corrupt Practices Act","","Alcoa World Alumina LLC, a majority-owned and controlled global alumina sales company of Alcoa Inc., agreed to plead guilty and pay $223 million in criminal fines and forfeiture to resolve charges that it paid millions of dollars in bribes through an international middleman in London to officials of the Kingdom of Bahrain, in violation of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","USA","New York","publicly traded","AA","metals","metals","https://www.justice.gov/opa/pr/alcoa-world-alumina-agrees-plead-guilty-foreign-bribery-and-pay-223-million-fines-and",""
"Alcon Pharmaceuticals Ltd. and Alcon Laboratories, Inc.","Novartis","$8,100,000","$0","$8,100,000","2016","20160630","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Switzerland","","publicly traded","NVS","pharmaceuticals","pharmaceuticals","https://efoia.bis.doc.gov/index.php/component/docman/doc_download/1068-e2466?Itemid=",""
