"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Absa Bank, Ltd.","","$150,000","$0","$150,000","2014","20140925","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7013-14",""
"Acceleration Capital, LLC","","$218,000","$0","$218,000","2007","20070116","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5277-07",""
"Ace Payday Plus, LLC","","$1,842,133","$0","$1,842,133","2004","20040301","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr18603.htm",""
"Achieve Financial Services LLP","","$1,210,000","$0","$1,210,000","2013","20130531","financial offenses","banking violation","","The Federal Deposit Insurance Corporation announced settlements with First California Bank (FCB), Westlake Village, California, and Achieve Financial Services, LLP for unfair and deceptive practices in violation of Section 5 of the Federal Trade Commission Act (Section 5) and violations of the Treasury Rule, 31 C.F.R. 210, governing the use of the Automated Clearing House system to deliver federal benefit payments to prepaid debit cards. Under the settlements, each entity has agreed to a Consent Order, Order for Restitution, and Order to Pay Civil Money Penalty. Achieve and FCB have agreed to provide restitution of approximately $1.1 million to over 64,000 cardholders. In addition, the FDIC has assessed civil money penalties of $600,000 against FCB and $110,000 against Achieve.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2013/pr13045.html",""
"ACI Inc.","","$7,756,750","$0","$7,756,750","2004","20040902","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr18869.htm",""
"ACI Capital Group, L.L.C.","","$850,000","$0","$850,000","2012","20120514","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr6257-12",""
"Acino Products, LLC","","$6,250","$0","$6,250","2011","20110926","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2011/acino-products.pdf",""
"ACJ Capital, Inc.","","$3,700,000","$0","$3,700,000","2012","20120326","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr6218-12",""
"ACJ Capital Inc., and Solid View Capital LLC","","$1,500,000","$0","$1,500,000","2013","20130618","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr6613-13",""
"Ackley State Bank","","$6,000","$0","$6,000","2014","20140801","financial offenses","banking violation","","civil money penalty","federal","agency action","Federal Reserve","civil","","","","","","Iowa","Ackley","","","","","","","","","","","http://www.federalreserve.gov/newsevents/press/enforcement/enf20140805a1.pdf",""
"A.C.L.N. Ltd. and Scandinavian Car Carriers","","$27,000,000","$0","$27,000,000","2004","20040916","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr18888.htm",""
"ACME Furniture Industry, Inc.","","$31,336","$0","$31,336","2007","20070601","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06082007.pdf",""
"Adams Capital Management","","$45,000","$0","$45,000","2017","20170117","financial offenses","investor protection violation","","The Securities and Exchange Commission announced that 10 investment advisory firms agreed to pay penalties ranging from $35,000 to $100,000 to settle charges that they violated the SEC's investment adviser pay-to-play rule by receiving compensation from public pension funds within two years after campaign contributions made by the firms' associates.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/pressrelease/2017-15.html",""
"Adams Harkness, Inc. f/k/a Adams Harkness & Hill, Inc.","","$575,000","$0","$575,000","2004","20040825","financial offenses","investor protection violation","","The SEC announced settled enforcement actions against seven broker-dealers for failing to disclose they had received payments for providing research coverage of certain public companies, in violation of Section 17(b) of the Securities Act of 1933.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/press/2004-117.htm",""
"Adelphia Communications Corporation","Adelphia Communications","$715,000,000","$0","$715,000,000","2005","20050425","financial offenses","accounting fraud or deficiencies","","Adelphia agreed to contribute $715 million to a victims compensation fund as part of a non-prosecution agreement signed by the company, whose principals were involved in a major accounting fraud case.","federal","agency action","Justice Department Criminal Division","criminal","non-prosecution agreement","","","","","","","","","","","USA","Pennsylvania","out of business","","telecommunications","telecommunications","https://www.justice.gov/archive/opa/pr/2005/April/05_usao_212.htm",""
"Adler Fels Winery","","$15,000","$0","$15,000","2009","20090826","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","California","Santa Rosa","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2009/adlers-fels.pdf",""
"ADM Investor Services, Inc.","Archer Daniels Midland","$200,000","$0","$200,000","2009","20090326","financial offenses","investor protection violation","securities issuance or trading violation","The U.S. Commodity Futures Trading Commission simultaneously filed and settled charges against ADM Investor Services, Inc. for violating rules governing post-execution allocations, maintenance of books and records, and supervision of its employees. The CFTC order sanctioned the company with a $200,000 civil monetary penalty.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ADM","agribusiness","agribusiness","http://www.cftc.gov/PressRoom/PressReleases/pr5639-09",""
"ADM Investor Services, Inc.","Archer Daniels Midland","$425,000","$0","$425,000","2013","20130930","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ADM","agribusiness","agribusiness","http://www.cftc.gov/PressRoom/PressReleases/pr6726-13",""
"Advance Local Development Corp.","","$9,509,736","$0","$9,509,736","2002","20020422","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr17480.htm",""
"Advanced Cell Technology","","$375,000","$0","$375,000","2014","20140910","financial offenses","investor protection violation","","A Massachusetts-based biotech company and its former CEO settled allegations that they defrauded investors by failing to report the CEO's sales of company stock.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370542903208",""
"Advanced Equities Inc","","$1,000,000","$0","$1,000,000","2012","20120918","financial offenses","investor protection violation","","A Chicago-based investment firm agreed to pay $1 million to settle allegations of misleading investors in two private equity offerings.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171484816",""
"Advanced Trading Workshop, Inc.","","$940,000","$0","$940,000","2016","20160927","financial offenses","investor protection violation","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7453-16",""
"Advanta Bank Corporation","","$35,150,000","$0","$35,150,000","2009","20090701","financial offenses","banking violation","","To settle charges that it engaged in deceptive and unfair patcies,  Advanta agreed to an order to cease and desist, to pay restitution, and to pay a civil money penalty in the amount of $150,000. In addition, it agreed to restitution of approximately $14 million to businesses that used Advanta's Cash Back Reward program and $21 million to accountholders whose accounts were repriced. In agreeing to the issuance of the order, Advanta did not admit or deny any liability.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2009/pr09109.html",""
"ADVANTAGE COMMUNITY BANK","","$5,150","$0","$5,150","2007","20070411","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-06-233k","","","Wisconsin","DORCHESTER","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5c1AAC?operationContext=S1",""
"Advantage Futures LLC","","$1,500,000","$0","$1,500,000","2016","20160921","financial offenses","investor protection violation","financial institution supervision failures","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7449-16",""
"Advent Capital Management","","$144,128","$0","$144,128","2014","20140916","financial offenses","investor protection violation","securities issuance or trading violation","The SEC announced sanctions in a continuing enforcement initiative uncovering certain hedge fund advisers and private equity firms that have illegally participated in an offering of a stock after short selling it during a restricted period.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370542963767",""
"Aerokinetic Energy Corporation","","$859,571","$0","$859,571","2011","20110330","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2011/lr21911.htm",""
"Aetna Life Insurance Company","CVS Health","$5,210","$0","$5,210","2008","20080731","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Rhode Island","publicly traded","CVS","retailing","retail-pharmacies","https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf",""
"AFB&T","Synovus Financial","$7,040","$0","$7,040","2009","20091109","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-09-540k","","","Georgia","ATHENS","","","","","USA","Georgia","publicly traded","SNV","financial services","banking","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4ruAAC?operationContext=S1",""
"Africa Gemstone Corporation","","$242,840","$0","$242,840","2003","20030204","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/lr17967.htm",""
"A.G. Edwards & Sons, Inc.","Wells Fargo","$3,860,000","$0","$3,860,000","2007","20070502","financial offenses","investor protection violation","financial institution supervision failures","A.G. Edwards & Sons, Inc. agreed to pay $3.86 million to settle allegations that it to supervise some of its registered representatives who used deceptive means to place market timing trades on behalf of their customers.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","WFC","financial services","banking","https://www.sec.gov/news/press/2007/2007-84.htm",""
"A.G. Edwards & Sons, Inc.","Wells Fargo","$125,000","$0","$125,000","2006","20060531","financial offenses","investor protection violation","","The Securities and Exchange Commission announced the settlement of proceedings against 15 broker-dealer firms for engaging in violative practices in the auction rate securities market.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","WFC","financial services","banking","https://www.sec.gov/news/press/2006/2006-83.htm",""
"A.G. Edwards and Sons Inc.","Wells Fargo","$122,358","$0","$122,358","2008","20080731","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","California","publicly traded","WFC","financial services","banking","https://www.treasury.gov/resource-center/sanctions/Documents/07312008.pdf",""
"AGB Partners LLC","","$50,000","$0","$50,000","2010","20100126","financial offenses","investor protection violation","securities issuance or trading violation","Two California investment advisory firms agreed to settle allegations of engaging in improper short selling of securities in advance of their participation in a company's secondary offering.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/press/2010/2010-13.htm",""
"AgFeed Industries","","$18,000,000","$0","$18,000,000","2014","20140915","financial offenses","accounting fraud or deficiencies","","A Tennessee-based animal feed company agreed to pay back $18 million in illicit profits from an accounting fraud that resulted in an earlier SEC enforcement action.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370542938017",""
"Agoda Company, Pte Ltd.","","$6,750","$0","$6,750","2008","20080929","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/09292008.pdf",""
"Agrocorp International Pte Ltd.","","$150,000","$0","$150,000","2016","20160711","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr7405-16",""
"AIC Inc.","","$66,760,521","$0","$66,760,521","2014","20140801","financial offenses","investor protection violation","","The SEC announced that it obtained a final judgment in federal court in Tennessee requiring a Richmond, Va.-based financial services holding company, a subsidiary brokerage firm, and their CEO to pay nearly $70 million as the outcome of a trial that found them liable for fraud.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370542590856",""
"AIM Advisors, Inc. and AIM Distributors, Inc.","Invesco","$50,000,000","$0","$50,000,000","2004","20041008","financial offenses","investor protection violation","securities issuance or trading violation","Invesco Funds Group, Inc., AIM Advisors, Inc., and AIM Distributors, Inc. agreed to pay a total of $375 million to settle allegations that they violated federal securities laws by facilitating widespread market timing trading in mutual funds with which each entity was affiliated.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","IVZ","financial services","investment management","https://www.sec.gov/news/press/2004-143.htm",""
"Air Jamaica Ltd.","","$18,750","$0","$18,750","2004","20040402","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04022004.pdf",""
"AirTrac Inc.","","$2,005,401","$0","$2,005,401","2008","20080123","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/litigation/litreleases/2008/lr20436.htm",""
"Aisling Capital","","$70,456","$0","$70,456","2017","20170117","financial offenses","investor protection violation","","The Securities and Exchange Commission announced that 10 investment advisory firms agreed to pay penalties ranging from $35,000 to $100,000 to settle charges that they violated the SEC's investment adviser pay-to-play rule by receiving compensation from public pension funds within two years after campaign contributions made by the firms? associates.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/pressrelease/2017-15.html",""
"AL Amerilife First Financial, LLC","","$100,000","$0","$100,000","2009","20090619","financial offenses","banking violation","","Amerilife agreed to pay $100,000 to settle allegations that it violated the Federal Deposit Insurance Act relating to misuse of the FDIC sign, seal, and symbol and misrepresentation of the insured status of entities and products.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2009/pr09093.html",""
"Alaron Trading Corporation","","$299,000","$0","$299,000","2008","20080421","financial offenses","investor protection violation","financial institution supervision failures","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5488-08",""
"Alaron Trading Corporation","","$260,000","$0","$260,000","2010","20100930","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5910-10",""
"Albert Fried & Company","","$300,000","$0","$300,000","2016","20160601","financial offenses","anti-money-laundering deficiencies","","An SEC investigation found that Albert Fried & Company failed to file Suspicious Activity Reports with bank regulators for more than five years despite red flags relating to its customers' high-volume liquidations of low-priced securities.  On more than one occasion, a customer's trading in a security on a given day exceeded 80 percent of the overall market volume.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","","","","","","","https://www.sec.gov/news/pressrelease/2016-102.html",""
"Alcon Laboratories, Inc","Novartis","$7,617,150","$0","$7,617,150","2016","20160705","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Switzerland","","publicly traded","NVS","pharmaceuticals","pharmaceuticals","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20160705_alcon.pdf",""
"Alfred C. Toepfer International, Inc.","Archer Daniels Midland","$400,000","$0","$400,000","2015","20150930","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ADM","agribusiness","agribusiness","http://www.cftc.gov/PressRoom/PressReleases/pr7258-15",""
"Allegheny Gulf Investments, Inc","","$440,000","$0","$440,000","2005","20050113","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/opa/enf05/opa5039-05.htm",""
"Allergan Inc.","Allergan","$15,000,000","$0","$15,000,000","2017","20170117","financial offenses","investor protection violation","","Allergan Inc. admitted securities law violations and agreed to pay a $15 million penalty for disclosure failures in the wake of a hostile takeover bid.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Ireland (reincorporated for tax reasons)","","publicly traded","AGN","pharmaceuticals","pharmaceuticals","https://www.sec.gov/news/pressrelease/2017-16.html",""
"Alliance Capital Metals LLC and AR Goldman Wealth Management, LLC","","$2,500,000","$0","$2,500,000","2012","20120626","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr6288-12",""
"Alliance Capital Management L.P.","AXA","$250,000,000","$0","$250,000,000","2003","20031218","financial offenses","investor protection violation","securities issuance or trading violation","Alliance Capital Management L.P. agreed to pay $250 million to settle allegations that it allowed market timing in certain of its mutual funds in exchange for fee-generating investments in other Alliance Capital investment vehicles.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","France","","publicly traded","","financial services","insurance","https://www.sec.gov/news/press/2003-176.htm",""
"Alliance Development Company","","$2,200,000","$0","$2,200,000","2008","20081211","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","","","","","","","http://www.cftc.gov/PressRoom/PressReleases/pr5582-08",""
"Alliance for Responsible Cuba Policy Foundation","","$10,000","$0","$10,000","2017","20170112","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","","","","","","","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20170112_alliance.pdf",""
"Allied Domecq Spirits & Wine USA, Inc.","","$30,000","$0","$30,000","2004","20040308","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","","","","","","","https://www.ttb.gov/images/pdfs/fo-compromise/2004/allieddomecq030804.pdf",""
